call_id,utterance_id,speaker,role,text,issue
00be25b0-458f-4cbf-ae86-ae2ec1f7fba4,2,Agent,agent,"Oh, I apologize for the confusion, Sarah. I'm reaching out about a debt related to an outstanding balance with Definite Bank.",privacy
019b9e97-9575-459e-9893-b59d8c99acef,2,Agent,agent,I'm reaching out regarding your overdue balance on your account. I just wanted to discuss your payment options.,privacy
02b08433-58e0-46af-961e-221ba94cb8df,2,Agent,agent,I'm reaching out regarding your outstanding balance with Global Credit. Can I have your name to proceed?,privacy
02b08433-58e0-46af-961e-221ba94cb8df,4,Agent,agent,"Thank you, John. You currently have a balance of three hundred dollars. When can we expect payment?",privacy
02b08433-58e0-46af-961e-221ba94cb8df,6,Agent,agent,Of course. This balance includes your last payment missed in August. Would you like to set up a payment plan?,privacy
03132d8f-6a7d-47d0-9540-c6a0ac32d946,1,Agent,agent,"Hello John, this is Lisa from Stellar Collections. I am calling about your overdue balance.",privacy
084fc190-bccc-472f-a6f8-de13e814c67d,2,Agent,agent,"Thank you for confirming, Jordan. I'm calling regarding an outstanding balance on your account. Can you please verify your date of birth?",privacy
0b6979e4-8c05-49e1-b7a7-94d85a627df5,4,Agent,agent,Thank you. I see here that you have a balance of $450 due. When do you plan to make a payment?,privacy
0b6979e4-8c05-49e1-b7a7-94d85a627df5,6,Agent,agent,Sure! This balance is from services rendered last month. Can I assist you with the payment plan?,privacy
0b764207-9bf4-4201-b69a-b0e6077a5689,1,Agent,agent,"Hello Jamie, this is Sarah calling from Clear Collections. I'm reaching out about your outstanding balance on your account. Please call us back at one eight hundred two three four five six seven.",privacy
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a,4,Agent,agent,I'm glad to hear that! I'm reaching out to discuss your account with ABC Bank. Can I get your account number?,privacy
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a,6,Agent,agent,No problem! I can look it up with your name. You've got an outstanding balance of $250. Would you like to discuss payment options?,privacy
0bf6844f-af6a-4e46-8d72-9ec01e4bc99a,8,Agent,agent,Sure! The balance is from a missed payment last month. Do you have a plan to settle this soon?,privacy
0c8297aa-ced1-414e-a175-bf29a9763d30,2,Agent,agent,"I'm calling regarding your outstanding balance with City Credit. Before I provide any details, could you please confirm your date of birth?",privacy
0d825dd5-99b2-4edd-af24-e39952ac84d5,1,Agent,agent,"Hello, John. This is Lisa from Greenfield Collections. I wanted to discuss your account balance.",privacy
0e2d1981-bd63-4fdd-a4ef-075732cbf26b,2,Agent,agent,I'm calling regarding an outstanding balance on your account. Can I get your name for verification?,privacy
0e2d1981-bd63-4fdd-a4ef-075732cbf26b,4,Agent,agent,"Thank you, Alex. You have a balance of $250 due on your account. How would you like to settle this today?",privacy
0e2d1981-bd63-4fdd-a4ef-075732cbf26b,6,Agent,agent,"Certainly! The last payment was made in July, and the current balance includes late fees.",privacy
114f3a62-bb17-44aa-bdcf-46873590a1ed,2,Agent,agent,"I'm contacting you regarding an outstanding balance on your account. Before we proceed, can you please verify your date of birth?",privacy
12968330-6da1-4860-b418-417794f640c6,2,Agent,agent,I'm calling regarding your overdue balance with City Finance. Can we discuss your account details?,privacy
12968330-6da1-4860-b418-417794f640c6,4,Agent,agent,Thank you. I see here that you have an outstanding balance of $250. How do you want to handle it today?,privacy
171ab2df-da45-49bc-9a7f-e2b0978c6972,2,Agent,agent,I'm reaching out regarding your outstanding balance with XYZ Bank. We need to discuss your account.,privacy
179f40ff-742d-4703-94c4-430f631e3f83,2,Agent,agent,"I'm calling regarding your outstanding balance with City Credit. Before we discuss any details, can you please confirm your date of birth?",privacy
19169ec6-213f-48e9-8ec2-c24ee2e6eb20,2,Agent,agent,I apologize for the mix-up. I was contacting Sarah about an outstanding balance with XYZ Bank.,privacy
1937fe41-0ba0-4276-b5cb-50524b28080a,2,Agent,agent,I’m glad to hear that! I'm calling regarding your outstanding balance with XYZ Credit. Can you confirm your address for me?,privacy
1f20a811-7d15-4fc0-b718-effedcc09c13,4,Agent,agent,"I’m calling regarding an outstanding balance on your account. Before we proceed, can you please verify your date of birth for security?",privacy
1f2c0aff-01cc-4a8e-926a-227527f67356,2,Agent,agent,I understand your concerns. I'm calling about your overdue balance with our company.,privacy
214c92cc-3141-404d-8224-c1b05acc345c,2,Agent,agent,"I'm calling about your overdue balance with Universal Credit. First, can you verify your date of birth?",privacy
216fd3c8-1a80-484d-8792-464771794d9e,2,Agent,agent,"I understand you're busy, but I'm calling regarding your outstanding balance. Can you please verify your date of birth so we can proceed?",privacy
23712d70-65df-47f3-8b69-fe2682aebc70,2,Agent,agent,I'm calling regarding an overdue balance on your account. Can I please verify your date of birth?,privacy
23f3e9f4-bc9d-4b68-8c1d-d8d4b229db7f,2,Agent,agent,I'm calling regarding your outstanding balance with City Bank. Can I please verify your identity? Could you provide your date of birth?,privacy
23f3e9f4-bc9d-4b68-8c1d-d8d4b229db7f,12,Agent,agent,Thank you! Your payment of $100 has been successfully processed. Is there anything else I can assist you with?,privacy
23f69c7c-f38b-4f4e-977a-660997b61c70,1,Agent,agent,"Hello, this is Sarah from National Collections. I'm calling about your overdue balance.",privacy
29489f77-b8e0-462c-9286-9216d59890f1,6,Agent,agent,"Listen, lady, you’ve got to sort your shit out. This isn’t a charity.",profanity
2ca5c9fd-f516-4a89-b25e-8de0ccc16fc3,2,Agent,agent,"I'm reaching out regarding your outstanding account. Before we proceed, could you please verify your date of birth?",privacy
2dbce9d8-284c-43c9-aaab-736648188892,2,Agent,agent,I’m calling regarding an outstanding balance on your account. Can I verify your date of birth first?,privacy
2ea925db-df94-4d9b-bd72-6c227742569d,4,Agent,agent,I'm calling regarding your outstanding balance on your account with XYZ Bank. Can you confirm your account number so I can assist you?,privacy
2ea925db-df94-4d9b-bd72-6c227742569d,12,Agent,agent,"Alright, I understand. Your balance remains $350 and we can split it into smaller payments if that helps.",privacy
2fbb34f8-fa48-4736-bc04-34e12819d43a,2,Agent,agent,I'm calling regarding an outstanding balance on your account. Can you please confirm your date of birth for verification?,privacy
320c83b6-fb0e-4c01-b455-46152a056395,2,Agent,agent,"I understand. I'm calling regarding an outstanding balance on your account. Before we proceed, could you please verify your date of birth?",privacy
348f6912-9877-4576-b0b2-4bcba9858515,2,Agent,agent,"I’m calling regarding an outstanding balance on your account. First, could you please verify your date of birth?",privacy
36066f6f-e10e-4080-920c-ab415b52c54e,2,Agent,agent,"I'm calling regarding your outstanding balance with City Bank. To protect your privacy, could you please confirm your date of birth?",privacy
36216c4a-0dcd-4d93-ab06-4ed14682d1a3,2,Agent,agent,I'm calling regarding your outstanding balance with your credit card account. Can you confirm your mailing address?,privacy
367fd789-cfa1-458b-b005-4a846f6769d9,2,Agent,agent,I’m calling regarding your outstanding balance with ABC Finance. Can you please verify your address for me?,privacy
38231782-a07c-4fbb-a036-723dfdfede1e,1,Agent,agent,"Hello Jessica, this is Mark from Global Finance. I am calling to discuss your outstanding balance.",privacy
39c3e29c-7b7c-43d2-999b-eb473ec31de3,2,Agent,agent,This is Rachel from XYZ Collections. I'm calling about an outstanding balance on your account.,privacy
3c328f04-6095-406a-aabe-f88bdcf2d125,1,Agent,agent,"Hello John, this is Sarah calling from XYZ Collections regarding your outstanding balance.",privacy
3c56ea72-ffe6-42ae-a7bf-cea432b89f6e,2,Agent,agent,"I understand. I'm calling in regards to an outstanding balance on your account. Before we proceed, could you please confirm your date of birth?",privacy
3e43ed42-da47-46ac-bb54-ec9c5f799124,2,Agent,agent,I understand your frustration. I'm calling about your overdue balance with your account.,privacy
3f9a4a6a-2d53-4391-95c9-44306989d6ce,4,Agent,agent,"I understand. I’m calling regarding an outstanding balance on your account. Before we proceed, can you please verify your date of birth?",privacy
40b40ec2-8ce2-47a8-b9d4-621285d7b484,2,Agent,agent,"I understand, I will be brief. I'm calling regarding your outstanding balance with Quick Loans. Can you confirm your name for me?",privacy
41415d92-c12f-478a-b747-4d94773c2011,2,Agent,agent,"I'm calling in regard to your outstanding balance with ABC Credit. Before we proceed, can you please verify your date of birth for security purposes?",privacy
43bb3199-b004-41ef-a7da-1ae746f1567c,2,Agent,agent,I'm reaching out regarding your outstanding balance with City Bank. Can you please confirm your date of birth for verification?,privacy
4547f937-4327-4973-97ac-c826259b7c88,2,Agent,agent,"I’m reaching out regarding your outstanding balance with ABC Credit. To proceed, can you please verify your date of birth?",privacy
467483c7-8c70-40dd-9449-384547b9ea93,2,Agent,agent,"I’m reaching out regarding an outstanding balance on your account. Before we proceed, could you please verify your date of birth?",privacy
46a46fb9-78ba-4502-873c-7e409f03ffc2,2,Agent,agent,"Hi Mr. Thompson, this is Lisa from XYZ Collections. I'm reaching out regarding a balance on your account. Can you please verify your date of birth?",privacy
4832c70d-36a2-40be-a926-b596fd71dafe,1,Agent,agent,"Hello, John. This is Sarah from Apex Collections. I'm calling about your overdue balance with your account. Please call us back at 1-800-555-0199.",privacy
4905b25b-9ed7-4a76-b5f3-4a8bd7cdc50b,2,Agent,agent,I'm calling regarding an outstanding balance on your account. Can you please verify your date of birth?,privacy
4905b25b-9ed7-4a76-b5f3-4a8bd7cdc50b,12,Agent,agent,Thank you for your patience. Let's start with your card number.,privacy
49dca3af-dcec-423e-939d-93811e8a51a9,2,Agent,agent,"Thank you, Sarah. I'm calling regarding the outstanding balance on your account. Before we proceed, could you please confirm your date of birth?",privacy
4f05aaff-585f-485f-90a1-60d027ec6e46,10,Agent,agent,Professional? You think I’m playing games? Get your shit together!,profanity
5048a566-147f-4d6e-8c1d-73ae83df5afc,4,Agent,agent,"I just wanted to discuss your outstanding balance. Before that, can you confirm your address for me?",privacy
504d8ff3-73a7-4e5e-a2d1-b1ab6abe72eb,2,Agent,agent,"I'm calling regarding an outstanding balance on your account. Before we proceed, could you please verify your date of birth?",privacy
504d8ff3-73a7-4e5e-a2d1-b1ab6abe72eb,12,Agent,agent,All done! Your payment has been processed and your balance is now zero. Thank you for your time.,privacy
522c166e-e8ab-4cb0-99f6-1df45e3481e5,2,Agent,agent,"I’m calling regarding your outstanding balance with ABC Credit Card. To proceed, could you please verify your date of birth?",privacy
52823847-626b-4898-bbf9-1c7cd848c311,1,Agent,agent,"Hello John, this is Sarah from the Debt Collection Agency. I'm calling about your outstanding balance.",privacy
52ddb4a0-0599-4e18-a961-ac4b67da8d5e,2,Agent,agent,"I'm calling from XYZ Collections about your outstanding balance. First, can you verify your date of birth?",privacy
54026bce-9be0-459f-bfd3-e61150b2e9b7,2,Agent,agent,I'm calling regarding your outstanding balance with Finances Inc. Can you please verify your date of birth?,privacy
542ab104-354b-46fd-93a7-ae64906f31ef,1,Agent,agent,"Hello, this is Jessica from ACME Collections. I'm calling about your outstanding balance on account number one two three four five.",privacy
55f06ad3-1c58-4853-8bbb-34b7b97bcbd7,2,Agent,agent,I'm calling regarding a past due balance on your account with XYZ Bank. Can I have your date of birth to locate your records?,privacy
5a7eebc6-e089-44e9-aa0d-ef2e39ca11fb,12,Agent,agent,Perfect! Please provide your card number to begin.,privacy
5cc64b47-fe6f-44f3-9cf1-9aeec1d57be4,1,Agent,agent,"Hello, Sarah. This is Mark from XYZ Collections. I am calling regarding your past due balance on your account.",privacy
60e92cb0-536d-4b03-b778-81dcbef4ea0e,1,Agent,agent,"Hello John, this is Lisa from Debt Solutions. I'm calling regarding your outstanding balance.",privacy
6387f58b-67bc-490c-857d-71f5daac829e,1,Agent,agent,"Hi John, this is Sarah from Global Collections. I am reaching out about your overdue balance.",privacy
6387f58b-67bc-490c-857d-71f5daac829e,3,Agent,agent,"Your current balance is three hundred and fifty dollars, and it's important to resolve this as soon as possible.",privacy
656fdb00-a46e-4a96-92cd-894eeea08829,2,Agent,agent,I apologize for the mix-up. I'm calling about an outstanding balance with your account.,privacy
65f99be3-1a8a-4f1f-91f0-7f3a4fe4235b,2,Agent,agent,I’m calling regarding your outstanding debt with Global Bank. Can you confirm your name for me?,privacy
66783778-028a-45ff-b1b0-f5c0ea759950,2,Agent,agent,"I’m calling in regard to an outstanding debt with your account. Before we discuss further, could you please verify your date of birth?",privacy
68b8e267-3f64-4925-9ecb-6dfb5c1f6462,2,Agent,agent,I’m glad to hear that! I'm calling regarding your outstanding balance with ABC Credit. Can I please verify your address?,privacy
6941b4ed-b5d9-451b-8ffc-ee80b4904702,2,Agent,agent,"I’m reaching out regarding an outstanding balance on your account. Before we proceed, could you please confirm your date of birth?",privacy
695904d8-1095-4980-b16a-fb854ee8284d,2,Agent,agent,"I'm glad to hear that. I'm reaching out regarding an outstanding balance on your account. Before we proceed, could you please verify your date of birth?",privacy
695b8667-5b26-45bb-8fbc-cc57fc8ce387,2,Agent,agent,"I’m calling regarding your outstanding balance with ABC Bank. To verify your identity, could you please provide your date of birth?",privacy
6aa42a81-2d58-4f54-a02a-b73d8457c53d,2,Agent,agent,"I'm reaching out regarding an outstanding balance on your account. Before I proceed, can you please verify your date of birth?",privacy
6ca65973-5d6f-4ae8-824d-691263af7c22,2,Agent,agent,I understand your frustration. I'm calling regarding your outstanding balance with your credit account.,privacy
6d0dd32e-cc1e-4624-88f9-2bb70db56f1c,2,Agent,agent,"I'm calling regarding an outstanding balance on your account. Before I provide any details, could you please verify your date of birth?",privacy
6eec7cee-53f4-4bc2-8b01-5334b32c565c,1,Agent,agent,"Hello, this is Jamie from ABC Collections. I'm calling regarding your past due balance.",privacy
708878fa-108e-4c22-b7bf-1d5c38227087,4,Agent,agent,I assure you that we're here to help. Can I get your account number to assist you further?,privacy
708878fa-108e-4c22-b7bf-1d5c38227087,6,Agent,agent,"I understand your hesitation; however, I need that to proceed. Your current balance is fifty dollars.",privacy
708e7950-1be4-47a7-9c82-e03c88f5a1d0,2,Agent,agent,I apologize for the mix-up. I'm calling about an outstanding balance on your account with City Bank.,privacy
73a011af-5fcc-458b-9ae5-48c7367eab5d,2,Agent,agent,I'm glad to hear that. I'm calling regarding an outstanding account. Can you please confirm your date of birth for verification?,privacy
7419fc47-2a8a-4203-868f-73e562aeae64,2,Agent,agent,"I’m calling about your outstanding balance with ABC Credit. Before we discuss any details, can you please verify your date of birth?",privacy
742147aa-a2df-4429-859e-05b4a7875563,2,Agent,agent,"I'm glad to hear that, Mark. I'm reaching out regarding your overdue balance with ABC Credit Union. Can I get your account number to look it up?",privacy
742147aa-a2df-4429-859e-05b4a7875563,4,Agent,agent,"Thank you for that. Now, your current balance is $500. Would you like to discuss payment options?",privacy
76e1c00c-bdcf-43c1-aee6-ea7dd7fa85fa,2,Agent,agent,I’m calling about your outstanding balance with Universal Credit. Can I have your account number to pull up your information?,privacy
76e1c00c-bdcf-43c1-aee6-ea7dd7fa85fa,4,Agent,agent,Your current balance is three hundred fifty dollars. How would you like to proceed with this payment?,privacy
76e1c00c-bdcf-43c1-aee6-ea7dd7fa85fa,8,Agent,agent,Perfect! I’ll apply that towards your balance. Can I verify your last four digits of your Social Security number?,privacy
80e5fe02-ec03-4ca5-902a-fdf38e6b7b8a,2,Agent,agent,"I apologize for the mix-up, but I need to discuss an outstanding balance on the account with American Airlines.",privacy
833dd6d6-87a7-4fe6-9249-9556c7d92c2f,2,Agent,agent,"I’m calling regarding an outstanding balance on your account. Before we proceed, can I verify your date of birth?",privacy
8372d771-4271-47b1-82e7-9cb3562fb380,1,Agent,agent,"Hi John, this is Lisa from XYZ Collections. I'm calling about your outstanding balance.",privacy
8598c6d9-a767-4120-af0a-5490357c72f3,5,Customer,borrower,"It's July 15, 1985, you idiot! Now can you just tell me what you want?",profanity
86686c7b-df90-4b78-8785-b1891b047f26,4,Agent,agent,I'm calling regarding your past due balance with ABC Credit. Can you confirm your address for me?,privacy
8706edf5-aa69-4338-b09a-122d2e9aa584,4,Agent,agent,"I’m reaching out regarding an outstanding balance on your account. Before we proceed, can you please verify your date of birth?",privacy
877e2349-9080-4ca9-8f04-f4676ed83774,2,Agent,agent,I'm calling regarding your past due balance with XYZ Credit Card. This is a debt collection call.,privacy
879251ec-628b-466b-9a17-fd5dc45ed969,2,Agent,agent,"This is Sam from XYZ Collections, I'm reaching out about an account balance that's due.",privacy
87b72559-14d4-4750-b55f-9cbb552cd433,1,Agent,agent,"Hello John, this is Lisa from Clear Collections. I am calling regarding your outstanding balance.",privacy
89d28c5a-f0da-41e9-a93e-0a749c20189c,14,Agent,agent,Good luck with that! Just don’t come crying to me when you end up in deeper shit!,profanity
8a4bea1a-a00b-4832-ada8-4bf1afacdda6,1,Agent,agent,"Hello, John. This is Sarah from ABC Collections. I'm calling about your outstanding balance.",privacy
8a7ed9a3-fc6d-4cff-88bf-da8236d1c834,2,Agent,agent,"I’m reaching out regarding an outstanding balance on your account. Before we proceed, could you please confirm your date of birth for verification?",privacy
8a9655a7-be88-4921-b0ad-04aa1b9953d1,2,Agent,agent,"I’m calling regarding an outstanding balance with your account. Before we proceed, can you please verify your date of birth?",privacy
8b2cb4a3-267b-4a83-8fbb-a82b1a0adee1,2,Agent,agent,"I’m reaching out regarding an outstanding balance on your account. Before we proceed, could you please verify your date of birth?",privacy
8b692284-0736-4dcb-a94a-3ee68cf9dcf4,2,Agent,agent,"I’m calling about an outstanding balance on your account. Before we proceed, could you please verify your date of birth?",privacy
8e34b537-4076-4736-b07f-5437c2379e57,2,Agent,agent,I'm calling regarding your outstanding balance with ABC Credit. Can I confirm your account details?,privacy
91833348-dca2-47a6-9464-cb7371dd8b09,1,Agent,agent,"Hi Alex, this is Sarah from Collection Solutions. I'm calling about your outstanding balance.",privacy
92477ce7-1d79-4164-a223-c25fc2030f32,2,Agent,agent,I'm calling regarding an outstanding balance on your account. Could you please verify your date of birth for security purposes?,privacy
94609779-f099-4702-9b8f-7d07bc3c7c04,2,Agent,agent,I’m reaching out regarding a past due balance on your account with First National Bank.,privacy
94ecf497-5959-44ec-a011-92af3709c38c,4,Agent,agent,"I understand, John. I'm here to discuss the outstanding balance on your account. Can you confirm your address for verification?",privacy
9530d56d-f98f-491f-a29c-88bf3c9ffded,2,Agent,agent,"I'm contacting you regarding your account balance. Before we proceed, can you verify your date of birth for me?",privacy
